customer_id,signup_date,plan,region,segment,monthly_spend,support_tickets,days_active,engagement_score,churned,tenure_days,last_activity_date,signup_month,cohort
CUST0018,2023-09-01,Basic,Europe,Individual,5.0,2,94,77,0,171,2024-02-19,2023-09,2023-09
CUST0019,2024-09-01,Free,North America,SMB,43.1,3,504,22,1,570,2026-03-25,2024-09,2024-09
CUST0020,2022-12-01,Basic,Europe,SMB,38.95,4,175,82,1,222,2023-07-11,2022-12,2022-12
CUST0021,2023-10-01,Free,North America,Enterprise,27.21,1,411,40,0,475,2025-01-18,2023-10,2023-10
CUST0022,2024-01-01,Free,North America,Individual,20.76,1,95,42,0,138,2024-05-18,2024-01,2024-01
CUST0023,2024-03-01,Basic,Africa,Individual,40.65,1,546,28,0,608,2025-10-30,2024-03,2024-03
CUST0024,2024-04-01,Pro,Europe,Individual,16.79,2,122,74,0,167,2024-09-15,2024-04,2024-04
CUST0025,2023-04-01,Free,LATAM,SMB,15.57,2,455,38,1,473,2024-07-17,2023-04,2023-04
CUST0026,2023-03-01,Basic,Asia,SMB,13.36,2,497,81,1,560,2024-09-11,2023-03,2023-03
CUST0027,2022-03-01,Free,Asia,Enterprise,31.33,2,123,58,1,205,2022-09-22,2022-03,2022-03
CUST0028,2025-01-01,Pro,North America,Individual,24.52,0,647,95,1,719,2026-12-21,2025-01,2025-01
CUST0029,2022-07-01,Pro,North America,SMB,28.08,3,162,46,0,232,2023-02-18,2022-07,2022-07
CUST0030,2023-09-01,Basic,LATAM,Individual,44.39,1,463,65,0,512,2025-01-25,2023-09,2023-09
CUST0031,2022-09-01,Free,Africa,Individual,52.34,2,370,53,1,432,2023-11-07,2022-09,2022-09
CUST0032,2023-06-01,Enterprise,North America,SMB,61.11,1,343,52,1,383,2024-06-18,2023-06,2023-06
CUST0033,2022-04-01,Free,North America,SMB,36.08,2,620,69,0,626,2023-12-18,2022-04,2022-04
CUST0034,2024-01-01,Free,Europe,SMB,41.26,1,241,39,1,249,2024-09-06,2024-01,2024-01
CUST0035,2023-02-01,Basic,Africa,Enterprise,38.4,0,549,59,0,552,2024-08-06,2023-02,2023-02
CUST0036,2022-09-01,Free,North America,SMB,5.0,2,188,77,0,276,2023-06-04,2022-09,2022-09
CUST0037,2024-02-01,Enterprise,Europe,Enterprise,28.35,1,297,50,0,345,2025-01-11,2024-02,2024-02
CUST0038,2022-02-01,Pro,LATAM,Enterprise,28.43,1,632,57,0,707,2024-01-09,2022-02,2022-02
CUST0039,2023-08-01,Free,North America,SMB,25.81,5,503,64,1,508,2024-12-21,2023-08,2023-08
CUST0040,2024-04-01,Basic,North America,Enterprise,34.26,1,439,60,0,520,2025-09-03,2024-04,2024-04
CUST0041,2022-07-01,Enterprise,Asia,SMB,31.05,1,503,28,0,523,2023-12-06,2022-07,2022-07
CUST0042,2022-08-01,Pro,Africa,Individual,17.25,5,385,28,1,399,2023-09-04,2022-08,2022-08
CUST0043,2024-11-01,Basic,North America,SMB,32.28,5,222,82,0,288,2025-08-16,2024-11,2024-11
CUST0044,2023-02-01,Enterprise,Europe,Individual,23.5,4,300,98,0,365,2024-02-01,2023-02,2023-02
CUST0045,2023-05-01,Enterprise,Europe,SMB,5.0,2,143,96,0,198,2023-11-15,2023-05,2023-05
CUST0046,2024-12-01,Pro,Europe,SMB,9.85,0,552,41,1,619,2026-08-12,2024-12,2024-12
CUST0047,2022-04-01,Free,Asia,Individual,36.6,1,84,35,1,115,2022-07-25,2022-04,2022-04
CUST0048,2022-02-01,Basic,Europe,Individual,54.65,3,94,51,0,159,2022-07-10,2022-02,2022-02
CUST0049,2022-06-01,Pro,Europe,Enterprise,5.0,3,301,85,0,329,2023-04-26,2022-06,2022-06
CUST0050,2022-04-01,Free,Europe,SMB,19.33,2,531,33,0,596,2023-11-18,2022-04,2022-04
CUST0051,2024-05-01,Pro,Asia,Individual,42.77,1,391,57,0,424,2025-06-29,2024-05,2024-05
CUST0052,2023-06-01,Free,Europe,SMB,50.81,1,175,27,0,201,2023-12-19,2023-06,2023-06
CUST0053,2024-02-01,Free,LATAM,SMB,27.44,2,238,40,1,297,2024-11-24,2024-02,2024-02
CUST0054,2024-10-01,Basic,North America,SMB,22.71,3,315,75,1,353,2025-09-19,2024-10,2024-10
CUST0055,2022-10-01,Free,LATAM,Enterprise,56.95,2,39,65,1,82,2022-12-22,2022-10,2022-10
CUST0056,2024-12-01,Enterprise,LATAM,SMB,49.33,1,215,62,0,296,2025-09-23,2024-12,2024-12
CUST0057,2023-02-01,Pro,North America,Individual,50.46,2,603,65,1,638,2024-10-31,2023-02,2023-02
CUST0058,2024-07-01,Pro,Europe,Enterprise,26.57,3,626,67,0,644,2026-04-06,2024-07,2024-07
CUST0059,2023-03-01,Basic,Europe,Enterprise,55.05,2,493,89,1,537,2024-08-19,2023-03,2023-03
CUST0060,2022-08-01,Free,North America,Individual,5.0,3,163,50,0,246,2023-04-04,2022-08,2022-08
CUST0061,2023-02-01,Basic,Europe,Individual,55.36,2,200,52,0,220,2023-09-09,2023-02,2023-02
CUST0062,2023-11-01,Basic,North America,Individual,33.8,1,242,63,1,264,2024-07-22,2023-11,2023-11
CUST0063,2023-09-01,Basic,North America,SMB,37.32,0,559,90,1,647,2025-06-09,2023-09,2023-09
CUST0064,2023-04-01,Free,LATAM,SMB,17.99,4,531,27,1,557,2024-10-09,2023-04,2023-04
CUST0065,2023-06-01,Basic,North America,SMB,5.0,5,601,92,1,672,2025-04-03,2023-06,2023-06
CUST0066,2023-12-01,Basic,LATAM,Enterprise,36.94,3,629,21,1,647,2025-09-08,2023-12,2023-12
CUST0067,2024-02-01,Enterprise,Europe,SMB,44.93,0,56,36,0,96,2024-05-07,2024-02,2024-02
CUST0068,2024-01-01,Pro,LATAM,Individual,47.65,0,97,71,0,122,2024-05-02,2024-01,2024-01
CUST0069,2024-05-01,Basic,Asia,Individual,45.71,2,437,64,1,464,2025-08-08,2024-05,2024-05
CUST0070,2023-03-01,Basic,North America,Individual,41.63,3,581,56,0,644,2024-12-04,2023-03,2023-03
CUST0071,2022-01-01,Pro,Asia,Individual,18.37,4,138,61,0,205,2022-07-25,2022-01,2022-01
CUST0072,2024-01-01,Free,North America,SMB,48.81,3,103,63,1,182,2024-07-01,2024-01,2024-01
CUST0073,2022-07-01,Pro,Europe,Enterprise,16.36,2,607,57,0,657,2024-04-18,2022-07,2022-07
CUST0074,2022-09-01,Pro,Africa,Individual,54.93,3,291,25,1,364,2023-08-31,2022-09,2022-09
CUST0075,2023-12-01,Basic,North America,SMB,33.49,2,397,87,0,444,2025-02-17,2023-12,2023-12
CUST0076,2022-01-01,Basic,Europe,SMB,34.09,0,266,70,1,275,2022-10-03,2022-01,2022-01
CUST0077,2022-08-01,Free,Asia,Individual,50.59,1,395,54,0,467,2023-11-11,2022-08,2022-08
CUST0078,2023-12-01,Basic,LATAM,Individual,53.03,5,315,77,1,353,2024-11-18,2023-12,2023-12
CUST0079,2022-11-01,Free,Asia,SMB,48.87,4,407,76,0,425,2023-12-31,2022-11,2022-11
CUST0080,2023-05-01,Pro,North America,Individual,20.23,0,405,92,0,468,2024-08-11,2023-05,2023-05
CUST0081,2022-08-01,Free,Asia,Enterprise,48.73,3,648,25,1,666,2024-05-28,2022-08,2022-08
CUST0082,2024-11-01,Free,North America,Individual,20.33,4,105,32,0,180,2025-04-30,2024-11,2024-11
CUST0083,2024-11-01,Enterprise,Asia,Individual,49.18,3,38,78,1,99,2025-02-08,2024-11,2024-11
CUST0084,2024-09-01,Pro,Africa,SMB,9.35,1,225,49,1,237,2025-04-26,2024-09,2024-09
CUST0085,2022-05-01,Free,Asia,Enterprise,33.31,1,319,21,1,343,2023-04-09,2022-05,2022-05
CUST0086,2024-04-01,Free,LATAM,Individual,20.22,1,90,77,0,178,2024-09-26,2024-04,2024-04
CUST0087,2022-07-01,Free,North America,Individual,50.66,0,418,55,1,459,2023-10-03,2022-07,2022-07
CUST0088,2022-09-01,Pro,Asia,Individual,55.07,3,592,91,0,630,2024-05-23,2022-09,2022-09
CUST0089,2022-08-01,Free,LATAM,Individual,38.58,3,593,64,0,622,2024-04-14,2022-08,2022-08
CUST0090,2022-12-01,Basic,North America,Individual,37.99,2,37,28,0,41,2023-01-11,2022-12,2022-12
CUST0091,2024-10-01,Enterprise,LATAM,SMB,47.68,3,398,84,1,478,2026-01-22,2024-10,2024-10
CUST0092,2024-09-01,Free,North America,Individual,55.18,1,74,96,1,91,2024-12-01,2024-09,2024-09
CUST0093,2023-11-01,Pro,Asia,Individual,35.67,1,373,69,0,393,2024-11-28,2023-11,2023-11
CUST0094,2023-12-01,Enterprise,LATAM,Enterprise,26.01,0,404,98,0,489,2025-04-03,2023-12,2023-12
CUST0095,2025-01-01,Free,Asia,Individual,46.65,2,648,51,0,697,2026-11-29,2025-01,2025-01
CUST0096,2024-11-01,Pro,North America,Individual,5.0,4,56,62,1,61,2025-01-01,2024-11,2024-11
CUST0097,2023-10-01,Basic,Asia,Individual,51.37,1,222,97,0,271,2024-06-28,2023-10,2023-10
CUST0098,2024-03-01,Enterprise,Europe,Enterprise,22.22,0,386,73,0,465,2025-06-09,2024-03,2024-03
CUST0099,2024-11-01,Basic,Africa,Individual,30.68,3,91,66,0,156,2025-04-06,2024-11,2024-11
CUST0100,2022-01-01,Pro,Europe,Enterprise,51.49,1,91,33,0,91,2022-04-02,2022-01,2022-01
CUST0101,2024-11-01,Basic,Europe,SMB,27.52,0,451,67,1,507,2026-03-23,2024-11,2024-11
CUST0102,2025-01-01,Pro,Asia,Individual,46.65,0,580,74,0,609,2026-09-02,2025-01,2025-01
CUST0103,2023-02-01,Pro,Europe,Enterprise,55.5,2,409,48,0,466,2024-05-12,2023-02,2023-02
CUST0104,2022-03-01,Basic,Asia,Individual,36.98,2,306,66,1,357,2023-02-21,2022-03,2022-03
CUST0105,2022-01-01,Pro,Asia,Individual,40.61,7,635,82,1,671,2023-11-03,2022-01,2022-01
CUST0106,2022-05-01,Free,LATAM,Enterprise,32.85,3,460,38,1,507,2023-09-20,2022-05,2022-05
CUST0107,2024-02-01,Free,Asia,SMB,37.08,3,144,28,0,230,2024-09-18,2024-02,2024-02
CUST0108,2023-02-01,Free,Europe,SMB,14.9,4,150,56,0,150,2023-07-01,2023-02,2023-02
CUST0109,2024-03-01,Free,North America,Individual,29.71,2,554,71,1,572,2025-09-24,2024-03,2024-03
CUST0110,2022-09-01,Free,North America,SMB,11.81,1,445,76,1,490,2024-01-04,2022-09,2022-09
CUST0111,2023-03-01,Enterprise,North America,SMB,18.82,1,192,47,0,258,2023-11-14,2023-03,2023-03
CUST0112,2023-03-01,Free,North America,Individual,5.0,1,366,55,0,367,2024-03-02,2023-03,2023-03
CUST0113,2024-02-01,Pro,Asia,Individual,39.75,1,408,83,0,463,2025-05-09,2024-02,2024-02
CUST0114,2023-01-01,Free,Asia,Individual,65.45,2,353,37,0,369,2024-01-05,2023-01,2023-01
CUST0115,2024-08-01,Pro,Europe,Individual,26.79,2,202,54,1,283,2025-05-11,2024-08,2024-08
CUST0116,2024-08-01,Enterprise,LATAM,Enterprise,52.37,0,93,87,0,171,2025-01-19,2024-08,2024-08
CUST0117,2022-04-01,Basic,Africa,Individual,55.26,5,130,97,1,151,2022-08-30,2022-04,2022-04
CUST0118,2024-06-01,Pro,LATAM,Enterprise,13.42,2,351,58,1,377,2025-06-13,2024-06,2024-06
CUST0119,2025-01-01,Free,Asia,Individual,17.29,1,95,27,0,149,2025-05-30,2025-01,2025-01
CUST0120,2023-11-01,Pro,Europe,SMB,52.83,3,586,99,0,617,2025-07-10,2023-11,2023-11
CUST0121,2023-03-01,Free,Europe,Individual,33.34,0,628,34,1,687,2025-01-16,2023-03,2023-03
CUST0122,2024-05-01,Enterprise,North America,Individual,11.77,3,487,26,1,569,2025-11-21,2024-05,2024-05
CUST0123,2024-12-01,Free,Europe,Individual,23.54,3,608,36,0,635,2026-08-28,2024-12,2024-12
CUST0124,2023-01-01,Basic,Africa,Individual,42.55,5,482,83,0,509,2024-05-24,2023-01,2023-01
CUST0125,2024-08-01,Pro,LATAM,SMB,20.71,2,288,31,1,361,2025-07-28,2024-08,2024-08
CUST0126,2022-07-01,Free,North America,Enterprise,5.0,0,455,75,0,538,2023-12-21,2022-07,2022-07
CUST0127,2023-10-01,Free,Europe,SMB,29.2,1,207,65,1,231,2024-05-19,2023-10,2023-10
CUST0128,2024-04-01,Free,LATAM,Individual,30.66,3,309,66,0,393,2025-04-29,2024-04,2024-04
CUST0129,2022-02-01,Free,North America,Individual,35.17,4,373,98,1,450,2023-04-27,2022-02,2022-02
CUST0130,2022-06-01,Basic,Europe,Individual,57.66,4,46,35,0,131,2022-10-10,2022-06,2022-06
CUST0131,2024-04-01,Free,LATAM,SMB,35.96,3,325,88,1,350,2025-03-17,2024-04,2024-04
CUST0132,2024-04-01,Basic,Europe,SMB,39.37,1,231,21,1,305,2025-01-31,2024-04,2024-04
CUST0133,2023-08-01,Free,North America,Enterprise,54.0,0,223,73,1,293,2024-05-20,2023-08,2023-08
CUST0134,2024-06-01,Pro,Europe,Individual,35.19,1,178,46,0,194,2024-12-12,2024-06,2024-06
CUST0135,2022-11-01,Free,LATAM,SMB,73.46,0,404,50,1,485,2024-02-29,2022-11,2022-11
CUST0136,2024-04-01,Free,Asia,SMB,12.25,2,64,60,1,70,2024-06-10,2024-04,2024-04
CUST0137,2024-01-01,Free,North America,SMB,18.19,3,398,55,1,453,2025-03-29,2024-01,2024-01
CUST0138,2024-09-01,Basic,Europe,SMB,46.05,1,58,66,0,121,2024-12-31,2024-09,2024-09
CUST0139,2022-01-01,Pro,Europe,SMB,57.58,3,250,62,0,269,2022-09-27,2022-01,2022-01
CUST0140,2024-03-01,Basic,Asia,SMB,31.39,1,82,84,1,119,2024-06-28,2024-03,2024-03
CUST0141,2023-01-01,Free,LATAM,Individual,16.81,3,382,69,1,456,2024-04-01,2023-01,2023-01
CUST0142,2022-03-01,Pro,North America,SMB,66.7,3,421,20,0,478,2023-06-22,2022-03,2022-03
CUST0143,2022-06-01,Pro,LATAM,Individual,20.74,4,105,91,0,120,2022-09-29,2022-06,2022-06
CUST0144,2022-08-01,Free,North America,SMB,41.1,2,523,76,0,573,2024-02-25,2022-08,2022-08
CUST0145,2024-03-01,Pro,Europe,Individual,58.65,1,551,35,1,577,2025-09-29,2024-03,2024-03
CUST0146,2022-09-01,Enterprise,North America,SMB,27.05,3,146,47,0,196,2023-03-16,2022-09,2022-09
CUST0147,2025-01-01,Free,Europe,Enterprise,23.8,1,309,41,0,383,2026-01-19,2025-01,2025-01
CUST0148,2024-09-01,Pro,Europe,Enterprise,25.03,4,204,60,0,219,2025-04-08,2024-09,2024-09
CUST0149,2023-12-01,Pro,Europe,Enterprise,51.23,1,324,95,0,410,2025-01-14,2023-12,2023-12
CUST0150,2023-03-01,Basic,North America,SMB,54.08,1,480,38,1,539,2024-08-21,2023-03,2023-03
CUST0151,2024-08-01,Free,Asia,SMB,35.61,3,547,69,0,622,2026-04-15,2024-08,2024-08
CUST0152,2024-08-01,Free,North America,SMB,68.9,0,50,78,1,89,2024-10-29,2024-08,2024-08
CUST0153,2023-12-01,Pro,LATAM,Enterprise,35.58,1,102,88,1,168,2024-05-17,2023-12,2023-12
CUST0154,2022-12-01,Enterprise,Africa,Individual,58.26,3,65,53,0,66,2023-02-05,2022-12,2022-12
CUST0155,2022-02-01,Pro,Europe,Enterprise,27.22,1,536,58,0,583,2023-09-07,2022-02,2022-02
CUST0156,2022-03-01,Basic,Europe,Enterprise,77.01,1,262,93,0,313,2023-01-08,2022-03,2022-03
CUST0157,2025-01-01,Basic,Europe,SMB,63.26,4,526,26,1,549,2026-07-04,2025-01,2025-01
CUST0158,2023-05-01,Basic,North America,Individual,32.7,0,235,71,1,318,2024-03-14,2023-05,2023-05
CUST0159,2022-02-01,Basic,Europe,Individual,60.82,2,455,79,0,536,2023-07-22,2022-02,2022-02
CUST0160,2022-02-01,Free,LATAM,Enterprise,59.91,4,73,71,0,150,2022-07-01,2022-02,2022-02
CUST0161,2024-04-01,Pro,Asia,Individual,62.95,2,120,98,0,201,2024-10-19,2024-04,2024-04
CUST0162,2023-11-01,Basic,North America,Enterprise,5.0,2,499,43,0,500,2025-03-15,2023-11,2023-11
CUST0163,2025-01-01,Pro,LATAM,SMB,47.95,2,634,45,0,698,2026-11-30,2025-01,2025-01
CUST0164,2024-08-01,Free,Europe,Individual,44.76,1,496,29,0,515,2025-12-29,2024-08,2024-08
CUST0165,2024-09-01,Free,LATAM,Enterprise,43.48,1,483,36,1,516,2026-01-30,2024-09,2024-09
CUST0166,2022-01-01,Free,Asia,SMB,38.93,2,624,97,0,664,2023-10-27,2022-01,2022-01
CUST0167,2023-07-01,Basic,Asia,SMB,39.46,2,362,21,0,402,2024-08-06,2023-07,2023-07
CUST0168,2022-02-01,Enterprise,North America,SMB,58.1,2,536,96,1,610,2023-10-04,2022-02,2022-02
CUST0169,2024-02-01,Free,North America,Individual,44.71,0,499,46,1,521,2025-07-06,2024-02,2024-02
CUST0170,2024-08-01,Pro,Africa,SMB,38.9,2,50,92,1,87,2024-10-27,2024-08,2024-08
CUST0171,2022-06-01,Basic,North America,Individual,55.51,3,257,90,0,300,2023-03-28,2022-06,2022-06
CUST0172,2024-08-01,Pro,Africa,Enterprise,42.52,0,405,67,0,471,2025-11-15,2024-08,2024-08
CUST0173,2022-04-01,Free,Europe,Enterprise,44.24,3,159,93,1,220,2022-11-07,2022-04,2022-04
CUST0174,2022-11-01,Pro,North America,Individual,68.61,2,649,28,1,660,2024-08-22,2022-11,2022-11
CUST0175,2023-05-01,Pro,North America,SMB,27.18,3,443,42,0,472,2024-08-15,2023-05,2023-05
CUST0176,2023-12-01,Free,North America,SMB,7.72,1,100,90,1,186,2024-06-04,2023-12,2023-12
CUST0177,2022-05-01,Free,Africa,Individual,36.3,3,433,92,1,497,2023-09-10,2022-05,2022-05
CUST0178,2024-10-01,Pro,Europe,Enterprise,38.86,2,591,46,0,631,2026-06-24,2024-10,2024-10
CUST0179,2022-06-01,Enterprise,Europe,Individual,47.99,2,636,90,0,655,2024-03-17,2022-06,2022-06
CUST0180,2023-10-01,Free,Europe,Individual,36.93,3,426,62,1,431,2024-12-05,2023-10,2023-10
CUST0181,2022-11-01,Pro,North America,SMB,48.59,1,366,26,0,440,2024-01-15,2022-11,2022-11
CUST0182,2023-04-01,Enterprise,Europe,SMB,80.08,2,534,82,0,537,2024-09-19,2023-04,2023-04
CUST0183,2024-09-01,Pro,North America,SMB,49.43,1,305,63,1,314,2025-07-12,2024-09,2024-09
CUST0184,2022-09-01,Enterprise,LATAM,SMB,52.59,0,42,58,1,92,2022-12-02,2022-09,2022-09
CUST0185,2022-06-01,Pro,Europe,SMB,32.67,0,32,59,0,69,2022-08-09,2022-06,2022-06
CUST0186,2023-04-01,Basic,Europe,SMB,10.07,1,253,26,0,253,2023-12-10,2023-04,2023-04
CUST0187,2024-05-01,Free,Europe,Individual,5.0,3,204,89,0,211,2024-11-28,2024-05,2024-05
CUST0188,2022-03-01,Free,Europe,Individual,25.66,1,414,44,0,494,2023-07-08,2022-03,2022-03
CUST0189,2023-08-01,Pro,Africa,Individual,5.0,2,631,78,0,713,2025-07-14,2023-08,2023-08
CUST0190,2024-12-01,Pro,Europe,Individual,44.24,0,270,32,0,332,2025-10-29,2024-12,2024-12
CUST0191,2023-07-01,Free,North America,SMB,28.11,0,576,81,1,608,2025-02-28,2023-07,2023-07
CUST0192,2024-02-01,Pro,Asia,Individual,11.36,0,43,27,0,57,2024-03-29,2024-02,2024-02
CUST0193,2022-03-01,Pro,North America,Individual,37.36,2,224,64,0,254,2022-11-10,2022-03,2022-03
CUST0194,2023-07-01,Basic,North America,Individual,21.7,4,426,37,1,446,2024-09-19,2023-07,2023-07
CUST0195,2023-08-01,Basic,Africa,Enterprise,43.11,2,460,79,0,462,2024-11-05,2023-08,2023-08
CUST0196,2024-08-01,Basic,LATAM,Enterprise,47.74,3,335,79,0,400,2025-09-05,2024-08,2024-08
CUST0197,2022-07-01,Free,Africa,SMB,22.37,0,363,21,1,397,2023-08-02,2022-07,2022-07
CUST0198,2024-09-01,Free,Europe,Enterprise,30.73,1,439,85,0,479,2025-12-24,2024-09,2024-09
CUST0199,2023-06-01,Free,Europe,SMB,38.87,2,32,33,1,90,2023-08-30,2023-06,2023-06
CUST0200,2022-01-01,Free,North America,SMB,9.67,2,581,67,0,596,2023-08-20,2022-01,2022-01
CUST0201,2022-11-01,Basic,North America,Individual,38.87,6,481,75,1,536,2024-04-20,2022-11,2022-11
CUST0202,2024-04-01,Basic,LATAM,SMB,9.24,3,524,31,1,568,2025-10-21,2024-04,2024-04
CUST0203,2024-01-01,Free,Europe,SMB,45.18,2,446,74,0,504,2025-05-19,2024-01,2024-01
CUST0204,2023-11-01,Pro,LATAM,SMB,27.17,2,420,47,0,469,2025-02-12,2023-11,2023-11
CUST0205,2024-07-01,Free,Asia,SMB,9.14,2,402,23,1,486,2025-10-30,2024-07,2024-07
CUST0206,2024-06-01,Enterprise,North America,SMB,24.56,2,81,55,0,92,2024-09-01,2024-06,2024-06
CUST0207,2024-11-01,Enterprise,Europe,SMB,25.32,3,405,69,0,416,2025-12-22,2024-11,2024-11
CUST0208,2022-07-01,Free,Asia,Enterprise,54.23,1,424,22,0,456,2023-09-30,2022-07,2022-07
CUST0209,2023-04-01,Basic,North America,Individual,38.12,1,171,20,0,254,2023-12-11,2023-04,2023-04
CUST0210,2024-02-01,Free,LATAM,SMB,17.79,1,115,36,0,163,2024-07-13,2024-02,2024-02
CUST0211,2022-02-01,Basic,Europe,SMB,64.68,2,493,90,1,513,2023-06-29,2022-02,2022-02
CUST0212,2022-01-01,Basic,North America,SMB,46.28,0,75,81,0,134,2022-05-15,2022-01,2022-01
CUST0213,2022-12-01,Free,Asia,SMB,28.95,2,267,67,0,318,2023-10-15,2022-12,2022-12
CUST0214,2022-05-01,Basic,Africa,Individual,7.03,2,39,81,1,92,2022-08-01,2022-05,2022-05
CUST0215,2025-01-01,Free,North America,SMB,27.36,1,602,88,1,640,2026-10-03,2025-01,2025-01
CUST0216,2024-08-01,Free,LATAM,Individual,31.03,4,559,38,0,607,2026-03-31,2024-08,2024-08
CUST0217,2022-09-01,Pro,North America,SMB,41.64,1,627,53,0,690,2024-07-22,2022-09,2022-09
CUST0218,2024-11-01,Free,LATAM,SMB,45.93,0,645,68,0,720,2026-10-22,2024-11,2024-11
CUST0219,2023-07-01,Basic,Asia,SMB,49.52,2,207,99,1,232,2024-02-18,2023-07,2023-07
CUST0220,2023-04-01,Basic,Europe,Individual,5.99,2,35,66,1,105,2023-07-15,2023-04,2023-04
CUST0221,2022-03-01,Enterprise,Europe,SMB,38.75,0,336,69,0,342,2023-02-06,2022-03,2022-03
CUST0222,2023-08-01,Free,LATAM,Individual,32.13,2,577,45,1,648,2025-05-10,2023-08,2023-08
CUST0223,2023-12-01,Basic,Europe,Enterprise,83.2,5,356,75,0,417,2025-01-21,2023-12,2023-12
CUST0224,2024-09-01,Pro,Asia,Enterprise,36.16,1,385,97,1,474,2025-12-19,2024-09,2024-09
CUST0225,2023-12-01,Basic,North America,Enterprise,23.79,0,424,33,0,511,2025-04-25,2023-12,2023-12
CUST0226,2022-11-01,Enterprise,LATAM,SMB,36.99,3,329,97,0,352,2023-10-19,2022-11,2022-11
CUST0227,2022-08-01,Pro,Asia,SMB,34.85,6,555,44,0,594,2024-03-17,2022-08,2022-08
CUST0228,2024-12-01,Pro,Africa,Individual,5.0,2,314,23,0,389,2025-12-25,2024-12,2024-12
CUST0229,2023-08-01,Pro,North America,Individual,42.35,1,359,98,0,405,2024-09-09,2023-08,2023-08
CUST0230,2024-11-01,Enterprise,Asia,SMB,29.41,3,79,51,0,86,2025-01-26,2024-11,2024-11
CUST0231,2024-01-01,Enterprise,Asia,SMB,34.52,2,407,97,0,460,2025-04-05,2024-01,2024-01
CUST0232,2024-11-01,Pro,Europe,Enterprise,19.28,1,629,84,0,637,2026-07-31,2024-11,2024-11
CUST0233,2024-01-01,Pro,Europe,Individual,15.31,2,567,80,1,569,2025-07-23,2024-01,2024-01
CUST0234,2024-05-01,Free,North America,Enterprise,50.82,3,173,39,0,226,2024-12-13,2024-05,2024-05
CUST0235,2023-06-01,Free,Asia,SMB,54.95,2,89,93,0,109,2023-09-18,2023-06,2023-06
CUST0236,2023-06-01,Basic,Europe,SMB,42.53,3,104,29,0,151,2023-10-30,2023-06,2023-06
CUST0237,2022-02-01,Free,North America,Individual,5.0,2,32,53,0,78,2022-04-20,2022-02,2022-02
CUST0238,2024-11-01,Basic,Asia,Individual,43.7,0,604,80,0,691,2026-09-23,2024-11,2024-11
CUST0239,2023-04-01,Free,Europe,SMB,5.0,4,477,46,1,544,2024-09-26,2023-04,2023-04
CUST0240,2024-12-01,Free,North America,SMB,23.1,2,304,59,0,387,2025-12-23,2024-12,2024-12
CUST0241,2024-09-01,Pro,Africa,Individual,50.58,1,559,84,0,621,2026-05-15,2024-09,2024-09
CUST0242,2022-04-01,Enterprise,Africa,SMB,46.84,2,621,52,0,636,2023-12-28,2022-04,2022-04
CUST0243,2024-09-01,Free,Europe,Enterprise,43.23,0,244,87,1,317,2025-07-15,2024-09,2024-09
CUST0244,2023-02-01,Basic,North America,Enterprise,58.63,1,514,90,0,603,2024-09-26,2023-02,2023-02
CUST0245,2023-09-01,Pro,LATAM,Enterprise,45.08,2,358,28,1,362,2024-08-28,2023-09,2023-09
CUST0246,2023-08-01,Free,Europe,Individual,5.0,1,284,35,0,294,2024-05-21,2023-08,2023-08
