Order ID,Order Date,Region,Category,Product,Quantity,Unit Price,Revenue,Cost,Profit
ORD-1090,2024-09-10,South,Electronics,Smartphone,2,699,1580.23,1058.75,521.48
ORD-1091,2024-04-27,South,Health & Beauty,Perfume,3,89,286.18,191.74,94.44
ORD-1092,2024-04-27,South,Fashion,Shoes,5,119,657.98,486.91,171.07
ORD-1093,2024-11-15,West,Health & Beauty,Hair Dryer,1,99,117.13,81.99,35.14
ORD-1094,2024-09-05,North,Fashion,Shoes,5,119,638.71,472.65,166.06
ORD-1095,2024-12-21,West,Fashion,Shoes,5,119,621.5,459.91,161.59
ORD-1096,2024-01-13,West,Health & Beauty,Skincare Kit,4,69,283.42,184.22,99.2
ORD-1097,2025-04-15,South,Health & Beauty,Hair Dryer,5,99,496.23,347.36,148.87
ORD-1098,2024-10-03,West,Health & Beauty,Vitamin Pack,5,39,230.81,166.18,64.63
ORD-1099,2024-09-08,North,Fashion,Watch,2,219,471.46,320.59,150.87
ORD-1100,2025-01-23,East,Electronics,Headphones,3,149,494.91,311.79,183.12
ORD-1101,2024-08-05,East,Fashion,Jacket,3,159,484.21,343.79,140.42
ORD-1102,2024-10-09,North,Home & Kitchen,Blender,2,89,183.84,126.85,56.99
ORD-1103,2025-05-15,South,Health & Beauty,Vitamin Pack,4,39,162.98,117.35,45.63
ORD-1104,2024-04-05,East,Home & Kitchen,Lamp,2,59,123.7,90.3,33.4
ORD-1105,2025-01-12,West,Fashion,Watch,5,219,1209.56,822.5,387.06
ORD-1106,2025-04-09,East,Fashion,Jacket,2,159,363.37,257.99,105.38
ORD-1107,2024-07-16,East,Electronics,Smartphone,2,699,1543.5,1034.14,509.36
ORD-1108,2025-05-10,East,Fashion,Shoes,2,119,275.28,203.71,71.57
ORD-1109,2025-01-04,South,Fashion,Shoes,5,119,600.21,444.16,156.05
ORD-1110,2024-02-16,North,Fashion,Backpack,4,79,349.02,265.26,83.76
ORD-1111,2024-01-13,East,Health & Beauty,Vitamin Pack,4,39,157.86,113.66,44.2
ORD-1112,2024-02-22,East,Health & Beauty,Skincare Kit,1,69,71.5,46.48,25.02
ORD-1113,2024-03-16,North,Home & Kitchen,Coffee Maker,5,129,635.7,419.56,216.14
ORD-1114,2024-03-28,South,Electronics,Headphones,5,149,810.13,510.38,299.75
ORD-1115,2024-08-19,West,Health & Beauty,Vitamin Pack,3,39,124.72,89.8,34.92
ORD-1116,2025-03-15,East,Electronics,Laptop,2,899,2030.79,1462.17,568.62
ORD-1117,2024-09-27,North,Home & Kitchen,Coffee Maker,2,129,263.02,173.59,89.43
ORD-1118,2024-06-09,North,Health & Beauty,Vitamin Pack,5,39,193.3,139.18,54.12
ORD-1119,2024-02-03,South,Fashion,Jacket,4,159,663.22,470.89,192.33
ORD-1120,2024-08-27,East,Home & Kitchen,Lamp,1,59,57.39,41.89,15.5
ORD-1121,2024-06-01,East,Home & Kitchen,Blender,1,89,84.26,58.14,26.12
ORD-1122,2024-11-10,East,Health & Beauty,Skincare Kit,4,69,302.91,196.89,106.02
ORD-1123,2025-02-16,East,Health & Beauty,Vitamin Pack,1,39,39.76,28.63,11.13
ORD-1124,2025-03-18,East,Fashion,Shoes,1,119,131.18,97.07,34.11
ORD-1125,2024-01-22,East,Electronics,Smartphone,4,699,3010.95,2017.34,993.61
ORD-1126,2025-03-28,East,Home & Kitchen,Lamp,4,59,227.69,166.21,61.48
ORD-1127,2025-04-26,East,Health & Beauty,Perfume,3,89,285.84,191.51,94.33
ORD-1128,2024-06-13,East,Health & Beauty,Vitamin Pack,3,39,111.91,80.58,31.33
ORD-1129,2025-02-14,North,Health & Beauty,Skincare Kit,3,69,221.44,143.94,77.5
ORD-1130,2024-04-28,West,Electronics,Headphones,4,149,775.22,488.39,286.83
ORD-1131,2025-06-14,East,Health & Beauty,Vitamin Pack,1,39,38.75,27.9,10.85
ORD-1132,2024-05-14,East,Health & Beauty,Vitamin Pack,1,39,45.19,32.54,12.65
ORD-1133,2024-09-02,South,Fashion,Shoes,5,119,620.73,459.34,161.39
ORD-1134,2024-08-18,North,Health & Beauty,Skincare Kit,2,69,144.66,94.03,50.63
ORD-1135,2024-10-25,East,Health & Beauty,Vitamin Pack,4,39,173.03,124.58,48.45
ORD-1136,2024-05-28,West,Home & Kitchen,Coffee Maker,1,129,148.84,98.23,50.61
ORD-1137,2025-02-28,East,Fashion,Shoes,3,119,367.2,271.73,95.47
ORD-1138,2025-05-16,South,Health & Beauty,Vitamin Pack,3,39,127.04,91.47,35.57
ORD-1139,2025-01-21,West,Fashion,Backpack,2,79,171.07,130.01,41.06
ORD-1140,2024-08-27,West,Electronics,Tablet,4,499,2328.59,1653.3,675.29
ORD-1141,2025-01-25,West,Home & Kitchen,Lamp,1,59,61.72,45.06,16.66
ORD-1142,2024-12-05,North,Health & Beauty,Skincare Kit,5,69,329.47,214.16,115.31
ORD-1143,2024-01-16,South,Health & Beauty,Hair Dryer,1,99,95.2,66.64,28.56
ORD-1144,2024-09-28,East,Health & Beauty,Skincare Kit,3,69,212.35,138.03,74.32
ORD-1145,2025-06-30,West,Fashion,Watch,5,219,1202.79,817.9,384.89
ORD-1146,2024-03-11,South,Fashion,Backpack,1,79,82.24,62.5,19.74
ORD-1147,2024-04-10,North,Health & Beauty,Hair Dryer,3,99,317.86,222.5,95.36
ORD-1148,2024-02-17,East,Electronics,Tablet,3,499,1679.0,1192.09,486.91
ORD-1149,2024-05-29,South,Health & Beauty,Hair Dryer,2,99,217.78,152.45,65.33
ORD-1150,2025-01-26,South,Health & Beauty,Hair Dryer,2,99,190.52,133.36,57.16
ORD-1151,2024-09-17,West,Fashion,Shoes,4,119,530.35,392.46,137.89
ORD-1152,2024-06-10,North,Health & Beauty,Perfume,5,89,447.38,299.74,147.64
ORD-1153,2025-03-10,East,Health & Beauty,Perfume,2,89,180.29,120.79,59.5
ORD-1154,2025-05-09,North,Home & Kitchen,Lamp,5,59,322.42,235.37,87.05
ORD-1155,2024-10-29,East,Electronics,Headphones,3,149,545.74,343.82,201.92
ORD-1156,2024-02-20,West,Fashion,Backpack,5,79,431.65,328.05,103.6
ORD-1157,2024-08-12,South,Fashion,Backpack,1,79,76.86,58.41,18.45
ORD-1158,2024-02-10,East,Health & Beauty,Skincare Kit,5,69,358.58,233.08,125.5
ORD-1159,2024-05-14,North,Fashion,Jacket,4,159,757.61,537.9,219.71
ORD-1160,2024-05-15,East,Fashion,Backpack,3,79,260.25,197.79,62.46
ORD-1161,2025-05-08,East,Fashion,Shoes,4,119,520.49,385.16,135.33
ORD-1162,2024-05-24,South,Health & Beauty,Perfume,1,89,93.0,62.31,30.69
ORD-1163,2024-01-15,East,Electronics,Headphones,3,149,475.18,299.36,175.82
ORD-1164,2024-09-25,West,Fashion,Shoes,2,119,275.0,203.5,71.5
ORD-1165,2024-12-01,South,Electronics,Headphones,3,149,443.96,279.69,164.27
ORD-1166,2024-04-29,South,Electronics,Laptop,3,899,2912.3,2096.86,815.44
ORD-1167,2024-04-28,North,Home & Kitchen,Coffee Maker,4,129,544.97,359.68,185.29
ORD-1168,2025-03-05,South,Health & Beauty,Skincare Kit,4,69,277.44,180.34,97.1
ORD-1169,2024-10-13,North,Fashion,Backpack,4,79,358.6,272.54,86.06
ORD-1170,2024-08-29,East,Electronics,Tablet,5,499,2676.74,1900.49,776.25
ORD-1171,2025-01-02,North,Health & Beauty,Perfume,2,89,174.21,116.72,57.49
ORD-1172,2025-04-10,North,Home & Kitchen,Blender,1,89,91.4,63.07,28.33
ORD-1173,2024-09-06,South,Home & Kitchen,Blender,5,89,439.57,303.3,136.27
ORD-1174,2024-08-09,South,Fashion,Backpack,5,79,414.17,314.77,99.4
ORD-1175,2024-05-28,South,Fashion,Backpack,1,79,85.13,64.7,20.43
ORD-1176,2024-01-27,South,Electronics,Tablet,2,499,1026.14,728.56,297.58
ORD-1177,2024-01-17,South,Fashion,Shoes,2,119,228.15,168.83,59.32
ORD-1178,2025-06-22,North,Electronics,Headphones,4,149,621.72,391.68,230.04
ORD-1179,2025-06-09,North,Health & Beauty,Hair Dryer,5,99,508.08,355.66,152.42
ORD-1180,2025-06-17,East,Health & Beauty,Skincare Kit,1,69,64.12,41.68,22.44
ORD-1181,2025-02-15,West,Electronics,Headphones,4,149,732.55,461.51,271.04
ORD-1182,2024-03-23,East,Home & Kitchen,Blender,2,89,182.07,125.63,56.44
ORD-1183,2024-11-28,West,Fashion,Watch,5,219,1320.0,897.6,422.4
ORD-1184,2024-04-11,North,Home & Kitchen,Lamp,4,59,240.26,175.39,64.87
ORD-1185,2025-02-27,East,Health & Beauty,Vitamin Pack,4,39,157.27,113.23,44.04
ORD-1186,2024-11-16,West,Fashion,Jacket,3,159,558.18,396.31,161.87
ORD-1187,2025-04-30,North,Electronics,Laptop,1,899,1081.36,778.58,302.78
ORD-1188,2025-01-16,South,Electronics,Tablet,1,499,520.74,369.73,151.01
ORD-1189,2025-03-09,North,Fashion,Jacket,3,159,541.71,384.61,157.1
ORD-1190,2025-06-03,South,Home & Kitchen,Lamp,2,59,101.37,74.0,27.37
ORD-1191,2024-12-24,East,Electronics,Tablet,5,499,2672.31,1897.34,774.97
ORD-1192,2025-03-15,North,Fashion,Shoes,2,119,266.59,197.28,69.31
ORD-1193,2024-11-12,East,Fashion,Shoes,2,119,262.34,194.13,68.21
ORD-1194,2025-02-14,North,Home & Kitchen,Blender,1,89,86.8,59.89,26.91
ORD-1195,2024-08-08,West,Health & Beauty,Vitamin Pack,3,39,132.25,95.22,37.03
ORD-1196,2024-11-15,East,Electronics,Laptop,2,899,2227.04,1603.47,623.57
ORD-1197,2024-02-20,North,Fashion,Watch,4,219,937.64,637.6,300.04
ORD-1198,2025-03-28,West,Fashion,Backpack,5,79,469.98,357.18,112.8
ORD-1199,2025-03-16,North,Fashion,Watch,5,219,1187.02,807.17,379.85
ORD-1200,2024-02-16,South,Health & Beauty,Skincare Kit,1,69,69.79,45.36,24.43
ORD-1201,2024-08-04,South,Fashion,Jacket,3,159,495.46,351.78,143.68
ORD-1202,2025-05-24,West,Home & Kitchen,Coffee Maker,4,129,582.89,384.71,198.18
ORD-1203,2024-08-23,East,Electronics,Headphones,1,149,166.27,104.75,61.52
ORD-1204,2025-04-15,North,Fashion,Watch,5,219,1246.77,847.8,398.97
ORD-1205,2025-03-03,East,Electronics,Headphones,1,149,163.46,102.98,60.48
ORD-1206,2024-06-24,West,Fashion,Shoes,4,119,488.94,361.82,127.12
ORD-1207,2024-09-06,West,Health & Beauty,Skincare Kit,4,69,302.28,196.48,105.8
ORD-1208,2024-12-13,South,Fashion,Backpack,1,79,74.97,56.98,17.99
ORD-1209,2024-04-26,South,Fashion,Jacket,2,159,345.72,245.46,100.26
ORD-1210,2024-05-29,East,Home & Kitchen,Coffee Maker,5,129,703.01,463.99,239.02
ORD-1211,2024-03-18,South,Health & Beauty,Vitamin Pack,5,39,193.64,139.42,54.22
ORD-1212,2025-04-04,East,Fashion,Backpack,4,79,362.62,275.59,87.03
ORD-1213,2025-03-28,East,Fashion,Shoes,3,119,384.61,284.61,100.0
ORD-1214,2024-11-13,West,Health & Beauty,Skincare Kit,1,69,83.17,54.06,29.11
ORD-1215,2024-10-20,North,Electronics,Headphones,4,149,708.08,446.09,261.99
ORD-1216,2024-02-12,West,Home & Kitchen,Air Fryer,5,149,779.4,545.58,233.82
ORD-1217,2024-06-03,North,Health & Beauty,Skincare Kit,3,69,196.45,127.69,68.76
ORD-1218,2024-03-27,South,Electronics,Smartphone,4,699,2939.59,1969.53,970.06
ORD-1219,2025-06-20,South,Fashion,Jacket,3,159,457.32,324.7,132.62
ORD-1220,2024-12-12,North,Fashion,Shoes,3,119,372.23,275.45,96.78
ORD-1221,2025-01-30,East,Fashion,Backpack,3,79,249.84,189.88,59.96
ORD-1222,2024-05-24,East,Fashion,Watch,2,219,494.21,336.06,158.15
ORD-1223,2024-03-27,East,Health & Beauty,Perfume,2,89,185.45,124.25,61.2
ORD-1224,2025-06-23,North,Health & Beauty,Perfume,1,89,89.01,59.64,29.37
ORD-1225,2024-07-03,South,Fashion,Watch,2,219,438.27,298.02,140.25
ORD-1226,2024-05-20,South,Electronics,Tablet,1,499,576.75,409.49,167.26
ORD-1227,2025-06-23,North,Fashion,Backpack,5,79,402.48,305.88,96.6
ORD-1228,2024-06-15,South,Home & Kitchen,Lamp,1,59,52.58,38.38,14.2
ORD-1229,2024-08-31,West,Fashion,Watch,2,219,489.6,332.93,156.67
ORD-1230,2024-11-12,West,Home & Kitchen,Air Fryer,5,149,809.8,566.86,242.94
ORD-1231,2025-04-17,East,Health & Beauty,Vitamin Pack,2,39,82.47,59.38,23.09
ORD-1232,2024-05-21,East,Electronics,Headphones,3,149,535.85,337.59,198.26
ORD-1233,2024-04-15,North,Fashion,Shoes,2,119,273.94,202.72,71.22
ORD-1234,2025-06-09,South,Health & Beauty,Skincare Kit,2,69,125.11,81.32,43.79
ORD-1235,2024-12-23,North,Health & Beauty,Skincare Kit,4,69,272.86,177.36,95.5
ORD-1236,2024-08-29,West,Electronics,Tablet,2,499,1231.13,874.1,357.03
ORD-1237,2024-04-11,East,Home & Kitchen,Coffee Maker,1,129,135.45,89.4,46.05
ORD-1238,2025-04-28,South,Health & Beauty,Vitamin Pack,5,39,211.76,152.47,59.29
ORD-1239,2024-03-22,North,Fashion,Backpack,2,79,172.99,131.47,41.52
ORD-1240,2025-06-24,West,Electronics,Tablet,2,499,1136.02,806.57,329.45
ORD-1241,2024-02-18,South,Health & Beauty,Vitamin Pack,1,39,39.74,28.61,11.13
ORD-1242,2025-05-26,North,Home & Kitchen,Coffee Maker,3,129,420.53,277.55,142.98
ORD-1243,2024-12-27,South,Health & Beauty,Hair Dryer,1,99,92.01,64.41,27.6
ORD-1244,2025-01-04,North,Electronics,Headphones,4,149,680.5,428.71,251.79
ORD-1245,2025-01-31,East,Fashion,Shoes,3,119,354.92,262.64,92.28
ORD-1246,2024-12-19,South,Electronics,Tablet,2,499,1041.8,739.68,302.12
ORD-1247,2024-12-12,South,Health & Beauty,Vitamin Pack,2,39,70.75,50.94,19.81
ORD-1248,2024-03-05,West,Electronics,Tablet,2,499,1264.39,897.72,366.67
ORD-1249,2024-07-23,North,Fashion,Jacket,5,159,832.88,591.34,241.54
ORD-1250,2025-04-29,East,Electronics,Smartphone,3,699,2488.73,1667.45,821.28
ORD-1251,2024-02-18,East,Fashion,Shoes,3,119,376.22,278.4,97.82
ORD-1252,2025-02-13,West,Health & Beauty,Perfume,2,89,195.69,131.11,64.58
ORD-1253,2025-05-24,East,Fashion,Shoes,4,119,560.37,414.67,145.7
ORD-1254,2024-07-03,East,Fashion,Shoes,1,119,122.96,90.99,31.97
ORD-1255,2024-10-29,East,Health & Beauty,Vitamin Pack,2,39,83.36,60.02,23.34
ORD-1256,2024-12-25,West,Electronics,Tablet,5,499,2677.79,1901.23,776.56
ORD-1257,2024-10-08,North,Electronics,Headphones,3,149,534.05,336.45,197.6
ORD-1258,2024-06-12,North,Home & Kitchen,Lamp,1,59,57.15,41.72,15.43
ORD-1259,2024-08-29,East,Fashion,Watch,5,219,1192.66,811.01,381.65
ORD-1260,2024-06-06,West,Fashion,Jacket,4,159,657.85,467.07,190.78
ORD-1261,2024-05-20,East,Health & Beauty,Perfume,3,89,303.93,203.63,100.3
ORD-1262,2024-04-26,North,Home & Kitchen,Lamp,5,59,313.29,228.7,84.59
ORD-1263,2024-04-30,East,Fashion,Watch,2,219,465.09,316.26,148.83
ORD-1264,2024-10-19,West,Home & Kitchen,Blender,2,89,190.59,131.51,59.08
ORD-1265,2025-04-07,South,Health & Beauty,Skincare Kit,3,69,212.87,138.37,74.5
ORD-1266,2024-03-07,East,Fashion,Backpack,2,79,166.16,126.28,39.88
ORD-1267,2025-06-04,South,Electronics,Smartphone,2,699,1436.81,962.66,474.15
ORD-1268,2025-05-20,North,Fashion,Jacket,4,159,719.01,510.5,208.51
ORD-1269,2024-05-12,North,Electronics,Tablet,4,499,2349.21,1667.94,681.27
ORD-1270,2025-05-05,West,Health & Beauty,Skincare Kit,2,69,158.06,102.74,55.32
ORD-1271,2024-03-16,West,Health & Beauty,Perfume,2,89,194.82,130.53,64.29
ORD-1272,2024-07-05,South,Health & Beauty,Skincare Kit,1,69,66.08,42.95,23.13
ORD-1273,2024-11-07,South,Home & Kitchen,Air Fryer,2,149,307.06,214.94,92.12
ORD-1274,2025-06-15,East,Electronics,Tablet,2,499,1033.31,733.65,299.66
ORD-1275,2024-10-08,South,Fashion,Shoes,5,119,625.53,462.89,162.64
ORD-1276,2024-06-06,South,Fashion,Shoes,1,119,116.97,86.56,30.41
ORD-1277,2024-09-28,South,Health & Beauty,Skincare Kit,4,69,271.06,176.19,94.87
ORD-1278,2024-10-23,East,Health & Beauty,Hair Dryer,4,99,437.3,306.11,131.19
ORD-1279,2024-03-15,North,Home & Kitchen,Lamp,4,59,241.96,176.63,65.33
ORD-1280,2024-07-27,East,Home & Kitchen,Air Fryer,3,149,415.82,291.07,124.75
ORD-1281,2024-12-19,West,Home & Kitchen,Air Fryer,5,149,730.03,511.02,219.01
ORD-1282,2024-11-22,South,Health & Beauty,Skincare Kit,3,69,222.6,144.69,77.91
ORD-1283,2024-05-24,North,Electronics,Tablet,4,499,2376.88,1687.58,689.3
ORD-1284,2025-03-04,South,Home & Kitchen,Air Fryer,5,149,705.13,493.59,211.54
ORD-1285,2024-07-13,South,Health & Beauty,Vitamin Pack,4,39,144.9,104.33,40.57
ORD-1286,2025-05-24,North,Electronics,Headphones,5,149,918.19,578.46,339.73
ORD-1287,2024-09-03,South,Fashion,Shoes,1,119,125.45,92.83,32.62
ORD-1288,2025-04-26,East,Electronics,Laptop,4,899,4346.15,3129.23,1216.92
ORD-1289,2024-09-27,East,Health & Beauty,Perfume,1,89,94.84,63.54,31.3
ORD-1290,2024-07-18,East,Fashion,Shoes,4,119,484.71,358.69,126.02
ORD-1291,2024-10-13,North,Home & Kitchen,Blender,4,89,378.5,261.16,117.34
ORD-1292,2024-12-13,East,Home & Kitchen,Coffee Maker,5,129,593.67,391.82,201.85
ORD-1293,2025-05-27,North,Electronics,Laptop,2,899,2168.8,1561.54,607.26
ORD-1294,2025-04-30,West,Home & Kitchen,Coffee Maker,3,129,411.57,271.64,139.93
ORD-1295,2024-11-22,South,Health & Beauty,Perfume,5,89,483.04,323.64,159.4
ORD-1296,2025-06-05,West,Fashion,Watch,1,219,234.14,159.22,74.92
ORD-1297,2024-04-22,West,Fashion,Shoes,5,119,706.23,522.61,183.62
ORD-1298,2024-08-21,North,Health & Beauty,Hair Dryer,5,99,513.24,359.27,153.97
ORD-1299,2025-01-24,South,Home & Kitchen,Blender,5,89,390.33,269.33,121.0
ORD-1300,2024-04-22,South,Electronics,Headphones,3,149,506.9,319.35,187.55
ORD-1301,2025-02-26,South,Health & Beauty,Vitamin Pack,1,39,37.84,27.24,10.6
ORD-1302,2025-06-15,South,Fashion,Watch,5,219,1050.73,714.5,336.23
ORD-1303,2024-06-26,West,Fashion,Jacket,3,159,499.82,354.87,144.95
ORD-1304,2024-07-15,South,Fashion,Jacket,2,159,299.66,212.76,86.9
ORD-1305,2024-10-31,East,Home & Kitchen,Lamp,3,59,182.91,133.52,49.39
ORD-1306,2024-10-07,East,Electronics,Headphones,4,149,680.46,428.69,251.77
ORD-1307,2024-05-29,East,Electronics,Tablet,1,499,608.61,432.11,176.5
ORD-1308,2025-03-28,East,Health & Beauty,Hair Dryer,2,99,203.54,142.48,61.06
